,listing_id,date,available,price
18702063,16234195,2018-05-07,f,
21820771,23348963,2018-03-30,f,
13708847,8822492,2018-05-22,f,
1842439,22763572,2018-05-27,f,
818738,16890461,2019-01-01,t,$190.00
6083250,23349612,2018-08-02,t,$65.00
14060091,13891636,2018-05-04,f,
1768019,13145993,2018-04-16,f,
11266133,6814836,2018-10-09,t,$240.00
657792,4273088,2019-01-04,t,$75.00
6336487,4009545,2018-09-23,f,
2044863,17132406,2018-10-25,t,$580.00
2304846,21543074,2018-05-18,f,
13035152,23035321,2019-02-05,f,
2372681,16554237,2018-08-11,f,
20659780,3276069,2019-01-15,t,$55.00
20648881,21925674,2018-10-29,t,$116.00
20026379,7663208,2018-05-23,f,
14928659,6072195,2018-05-31,f,
21411899,17889662,2018-05-22,f,
12900558,15295034,2018-03-09,f,
704909,7158558,2018-12-03,t,$80.00
13024036,6837894,2018-09-26,f,
1278788,13431523,2018-07-31,f,
2368222,12756152,2018-11-08,f,
9649145,6756321,2018-11-03,f,
12386679,18787263,2018-12-12,f,
19542104,557913,2019-03-02,f,
9061588,13756421,2018-11-29,f,
18289139,19509764,2018-12-12,t,$400.00
14302730,20020392,2018-08-14,f,
14813653,19096809,2018-07-29,t,$89.00
12519708,11157815,2018-08-10,f,
19729022,13354149,2019-01-24,f,
12951876,19629000,2018-05-30,f,
2640322,12122952,2018-05-31,f,
15140306,19025626,2018-10-05,f,
2445,21862178,2018-06-26,f,
20066835,21638472,2019-01-18,f,
8101669,20797809,2018-10-11,f,
7043888,9749357,2018-11-08,f,
6681385,17678124,2018-09-21,f,
4835371,4214252,2019-01-16,f,
15435059,6969472,2018-05-06,f,
14404522,7993700,2018-09-06,f,
14076531,3475228,2018-05-06,f,
1111316,3321910,2018-06-23,t,$110.00
8289615,6281245,2018-08-10,f,
7391381,2071516,2018-10-27,f,
14097185,1263863,2018-10-03,t,$250.00
11807070,12666439,2018-10-28,f,
18117282,15085760,2018-08-23,f,
12977777,11118690,2018-08-02,f,
12516550,17688992,2018-04-06,f,
11057280,6469768,2018-04-05,f,
7553938,10515756,2018-06-12,t,$100.00
6640982,6540654,2018-08-18,f,
686563,22886482,2018-03-09,t,$70.00
13863076,14176853,2019-02-24,f,
5990110,2475029,2018-10-12,f,
6459037,22201744,2018-03-09,f,
2174572,19381730,2019-02-07,f,
15445695,13850458,2018-03-16,f,
2099368,14041954,2018-06-28,t,$33.00
14616968,10684053,2018-07-14,f,
16465459,896257,2018-05-02,f,
2203943,5590580,2018-09-29,f,
14011473,7028156,2018-05-07,f,
10905576,5463253,2018-08-16,f,
1615835,20852825,2018-03-26,f,
6514043,17260248,2018-06-27,f,
1100515,1314491,2019-01-27,f,
21811064,22794989,2018-09-07,f,
14947321,18914584,2019-02-11,f,
14881236,19903973,2018-08-20,t,$285.00
20464788,13852515,2018-04-07,f,
18938319,12930674,2018-12-10,f,
11247139,4845861,2019-02-07,t,$110.00
4177203,6354341,2018-07-18,f,
18874826,23403151,2018-11-12,f,
13824900,2237894,2018-08-02,f,
7606606,5528842,2019-03-01,f,
4283406,21735617,2018-10-28,f,
5471367,546719,2018-12-18,f,
20986934,17384940,2018-06-28,f,
4399571,1228619,2018-05-30,f,
12404937,13213576,2018-12-13,f,
6645312,3155407,2018-11-02,f,
2871272,1735137,2018-07-11,f,
19256261,5671411,2018-03-26,f,
14497012,8301672,2018-05-02,f,
10213864,768355,2018-08-28,f,
16228446,650493,2018-08-06,f,
6147940,3086681,2018-04-18,f,
16123467,20675583,2018-04-20,f,
10715190,9933650,2018-04-14,t,$165.00
9911508,10347089,2018-05-13,f,
10245420,12845041,2018-05-18,f,
18179276,11044523,2018-09-25,f,
11831200,13632495,2018-07-07,f,
19599263,7912465,2019-01-17,f,
21611976,6818759,2018-04-14,t,$120.00
16224202,17413943,2018-04-24,f,
14456454,19569241,2019-02-06,f,
8265603,10094573,2018-08-08,t,$55.00
20498377,20853851,2018-03-29,f,
13047240,14229809,2018-04-27,t,$195.00
11625898,22766270,2019-01-15,f,
19540211,13931676,2019-01-11,f,
8408696,12806734,2018-07-16,f,
13998413,15919673,2019-01-31,t,$290.00
9709027,17803948,2019-01-05,t,$450.00
13716539,5909222,2018-08-14,f,
5483617,809619,2018-07-18,t,$100.00
8536598,18384679,2018-03-29,t,$75.00
2053112,18044389,2018-03-20,f,
15562327,6445272,2018-07-18,f,
6210658,19639346,2018-09-05,f,
20928028,3892647,2018-10-05,f,
6391362,12731179,2018-05-07,f,
1589772,18064066,2018-05-08,t,$790.00
17059732,16953863,2018-03-09,f,
9519028,8914142,2018-04-19,f,
4775540,1554993,2019-01-24,t,$55.00
16398662,2035203,2018-05-04,f,
2146088,10857834,2018-06-07,f,
6313416,6102339,2019-02-24,t,$180.00
700665,8204594,2019-01-31,t,$90.00
14815472,21062992,2018-07-29,f,
19237504,4222522,2018-09-08,f,
7635677,1791044,2018-06-27,f,
5476293,22567114,2019-02-23,f,
15573419,14325576,2018-04-11,f,
6586362,22525509,2018-05-10,f,
10151859,9966242,2018-11-02,f,
1367233,16349900,2018-05-03,t,$48.00
6677265,19150508,2018-04-22,f,
2793085,8771276,2018-08-21,f,
12407872,3653248,2019-01-04,t,$47.00
3330271,10768252,2019-01-05,f,
20573224,17874530,2018-03-07,f,
19587457,13687185,2018-11-29,f,
1065539,18135845,2018-11-17,f,
7633494,13009623,2018-07-01,f,
6373079,19405317,2018-07-14,f,
7822227,12215656,2018-12-11,f,
15445333,5505121,2018-03-12,f,
11767857,16119307,2018-06-25,f,
6341673,5453907,2018-08-05,t,$112.00
17169108,3322709,2018-07-11,t,$200.00
12611354,6620560,2018-04-28,f,
4816415,23218384,2018-06-21,f,
15303489,12391350,2018-10-24,f,
12257834,21947218,2019-01-27,f,
20269270,15766679,2018-12-06,f,
3528907,5663741,2018-10-14,f,
7393339,1416314,2018-06-16,f,
